metric,value,meaning
TP,39252.0,攻击样本判为攻击
TN,240098.0,良性样本判为良性
FP,591.0,良性样本误报为攻击
FN,29.0,攻击样本漏报为良性
attack_precision,0.9851667796099691,二分类攻击检测精度
attack_recall,0.9992617295893689,二分类攻击检测召回
attack_f1,0.9921641979677467,二分类攻击检测 F1
FPR,0.0024554508099663883,误报率
FNR,0.0007382704106310939,漏报率
binary_accuracy,0.9977854770153946,二分类准确率，辅助指标
