strategy,best_epoch,best_val_macro_f1,best_val_weighted_f1,history_path
Unweighted CE,2,0.7591729197304025,0.9930041739980713,artifacts/cicids2017_masked_header_submode_group_formal_cuda_v8_cap32_tcpstate_b128_w4_unweighted/classifier/history/history.json
Sqrt-balanced CE,3,0.8053274985794492,0.9933220189551196,artifacts/cicids2017_masked_header_submode_group_formal_cuda_v10_cap32_tcpstate_conn_b128_w4_sqrt_weighted/classifier/history/history.json
Balanced CE,1,0.7718393985371435,0.9925222608067472,artifacts/cicids2017_masked_header_submode_group_formal_cuda_v12_cap32_tcpstate_conn_b128_w4_balanced_cap20/classifier/history/history.json
